competencia_id,ciclo_siglas,orden_global,etapa,bloque,modulo_codigo,modulo_nombre,titulo,descripcion,nivel_objetivo,obligatoria_roadmap_base,basico_antes_de_empezar,horas_estimadas,prerrequisitos_ids,criterios_superacion,evidencia_minima,umbral_superacion,aplicable_a,fuente_titulo_url,fuente_curriculo_url,tipo_criterio,ultima_revision
DAW-BAS-001,DAW,1,0_antes_de_empezar,Competencia digital básica,PRE,Preparación previa,"Gestionar archivos, carpetas y copias de seguridad","Organiza proyectos, descargas y documentos sin perder versiones ni credenciales.",0,sí,sí,3,,Crea una estructura de carpetas coherente para tres proyectos || Comprime y descomprime archivos y localiza extensiones || Recupera una copia anterior o explica cómo restaurarla,Captura o vídeo corto de la estructura y procedimiento de copia,3 de 3 criterios sin ayuda crítica,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-BAS-002,DAW,2,0_antes_de_empezar,Competencia digital básica,PRE,Preparación previa,Usar terminal y comandos esenciales,"Navega, crea, mueve y elimina archivos desde terminal y entiende rutas absolutas y relativas.",0,sí,sí,5,DAW-BAS-001,"Se desplaza entre directorios sin interfaz gráfica || Crea, copia, mueve y elimina archivos de prueba || Explica ruta absoluta, relativa y permisos básicos",Registro de terminal con 10 comandos comentados,80 % de comandos correctos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-BAS-003,DAW,3,0_antes_de_empezar,Pensamiento lógico,PRE,Preparación previa,Resolver problemas mediante algoritmos simples,"Descompone un problema en entradas, proceso, decisiones, repeticiones y salida.",0,sí,sí,8,,Redacta pseudocódigo de tres problemas cotidianos || Identifica condiciones y bucles necesarios || Prueba casos normales y casos límite,Documento con tres algoritmos y tabla de pruebas,Al menos 2 algoritmos correctos y probados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-BAS-004,DAW,4,0_antes_de_empezar,Fundamentos de Internet,PRE,Preparación previa,Comprender cómo funciona una aplicación conectada,"Distingue cliente, servidor, red, DNS, HTTP, API, base de datos y despliegue.",0,sí,sí,5,DAW-BAS-003,"Dibuja el recorrido de una petición desde navegador o app hasta servidor || Diferencia frontend, backend y base de datos || Interpreta códigos HTTP comunes y una URL",Diagrama comentado de una aplicación sencilla,80 % de conceptos correctamente relacionados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-BAS-005,DAW,5,0_antes_de_empezar,Método de estudio técnico,PRE,Preparación previa,Documentar errores y aprender mediante práctica,"Registra hipótesis, pruebas, errores, soluciones y fuentes consultadas.",0,sí,sí,3,,Crea una plantilla de diario técnico || Documenta un error con pasos para reproducirlo || Distingue una fuente primaria de una explicación secundaria,Entrada de diario técnico con error resuelto,"Incluye problema, causa, solución y aprendizaje",formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-SI-001,DAW,6,1_fundamentos,Sistemas informáticos,0483,Sistemas informáticos,Instalar y configurar un sistema de trabajo,"Configura usuarios, almacenamiento, software, actualizaciones y un entorno reproducible.",1,sí,no,14,DAW-BAS-001|DAW-BAS-002,"Instala o configura una máquina virtual o entorno equivalente || Crea usuarios y aplica actualizaciones || Documenta requisitos, red y almacenamiento",Guía de instalación reproducible con capturas,Se reproduce sin pasos omitidos críticos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-SI-002,DAW,7,1_fundamentos,Sistemas informáticos,0483,Sistemas informáticos,Aplicar red y seguridad básica,"Comprende IP, puertos, servicios, permisos, usuarios, copias y secretos.",1,sí,no,12,DAW-SI-001|DAW-BAS-004,"Configura una red local o servicio accesible de forma controlada || Diferencia autenticación, autorización y cifrado || Evita publicar secretos y define una estrategia de copia",Checklist de seguridad aplicado a un entorno de prueba,Sin exposición de credenciales ni permisos inseguros graves,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-BD-001,DAW,8,1_fundamentos,Bases de datos,0484,Bases de Datos,Modelar datos relacionales,"Transforma requisitos en entidades, atributos, relaciones, claves y restricciones.",1,sí,no,18,DAW-BAS-003,"Identifica entidades y relaciones de un caso || Normaliza hasta un diseño razonable || Define claves primarias, foráneas y restricciones",Diagrama entidad-relación y modelo relacional,Modelo sin relaciones ambiguas ni dependencias evidentes,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-BD-002,DAW,9,1_fundamentos,Bases de datos,0484,Bases de Datos,Crear y consultar una base de datos con SQL,"Implementa tablas y resuelve consultas de selección, agregación y combinación.",1,sí,no,24,DAW-BD-001,"Crea tablas con tipos y restricciones correctas || Realiza CRUD y consultas con JOIN || Usa agregaciones, filtros y ordenación sobre datos coherentes",Script SQL ejecutable con datos de prueba y 12 consultas,Al menos 10 consultas correctas,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-BD-003,DAW,10,1_fundamentos,Bases de datos,0484,Bases de Datos,"Mantener integridad, transacciones y acceso seguro","Gestiona transacciones, usuarios, permisos, copias y errores de persistencia.",2,sí,no,14,DAW-BD-002|DAW-SI-002,Demuestra una transacción con confirmación y reversión || Crea un usuario con privilegios mínimos || Realiza y verifica una copia y restauración de prueba,Script y registro de una restauración controlada,Los datos se restauran y los permisos son mínimos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
