ciclo_siglas,competencia_origen_id,competencia_destino_id,tipo_relacion,obligatoria,motivo,ultima_revision
DAW,DAW-BAS-001,DAW-BAS-002,prerrequisito,sí,"Gestionar archivos, carpetas y copias de seguridad debe dominarse antes de Usar terminal y comandos esenciales.",2026-08-04
DAW,DAW-BAS-003,DAW-BAS-004,prerrequisito,sí,Resolver problemas mediante algoritmos simples debe dominarse antes de Comprender cómo funciona una aplicación conectada.,2026-08-04
DAW,DAW-BAS-001,DAW-SI-001,prerrequisito,sí,"Gestionar archivos, carpetas y copias de seguridad debe dominarse antes de Instalar y configurar un sistema de trabajo.",2026-08-04
DAW,DAW-BAS-002,DAW-SI-001,prerrequisito,sí,Usar terminal y comandos esenciales debe dominarse antes de Instalar y configurar un sistema de trabajo.,2026-08-04
DAW,DAW-SI-001,DAW-SI-002,prerrequisito,sí,Instalar y configurar un sistema de trabajo debe dominarse antes de Aplicar red y seguridad básica.,2026-08-04
DAW,DAW-BAS-004,DAW-SI-002,prerrequisito,sí,Comprender cómo funciona una aplicación conectada debe dominarse antes de Aplicar red y seguridad básica.,2026-08-04
DAW,DAW-BAS-003,DAW-BD-001,prerrequisito,sí,Resolver problemas mediante algoritmos simples debe dominarse antes de Modelar datos relacionales.,2026-08-04
DAW,DAW-BD-001,DAW-BD-002,prerrequisito,sí,Modelar datos relacionales debe dominarse antes de Crear y consultar una base de datos con SQL.,2026-08-04
DAW,DAW-BD-002,DAW-BD-003,prerrequisito,sí,"Crear y consultar una base de datos con SQL debe dominarse antes de Mantener integridad, transacciones y acceso seguro.",2026-08-04
DAW,DAW-SI-002,DAW-BD-003,prerrequisito,sí,"Aplicar red y seguridad básica debe dominarse antes de Mantener integridad, transacciones y acceso seguro.",2026-08-04
DAW,DAW-BAS-003,DAW-PRO-001,prerrequisito,sí,"Resolver problemas mediante algoritmos simples debe dominarse antes de Programar con variables, decisiones y bucles.",2026-08-04
DAW,DAW-PRO-001,DAW-PRO-002,prerrequisito,sí,"Programar con variables, decisiones y bucles debe dominarse antes de Diseñar funciones y trabajar con colecciones.",2026-08-04
DAW,DAW-PRO-002,DAW-PRO-003,prerrequisito,sí,Diseñar funciones y trabajar con colecciones debe dominarse antes de Aplicar programación orientada a objetos.,2026-08-04
DAW,DAW-PRO-003,DAW-PRO-004,prerrequisito,sí,"Aplicar programación orientada a objetos debe dominarse antes de Gestionar errores, ficheros y pruebas.",2026-08-04
DAW,DAW-BAS-004,DAW-LM-001,prerrequisito,sí,Comprender cómo funciona una aplicación conectada debe dominarse antes de Estructurar información con lenguajes de marcas.,2026-08-04
DAW,DAW-LM-001,DAW-LM-002,prerrequisito,sí,Estructurar información con lenguajes de marcas debe dominarse antes de Presentar información de forma responsive.,2026-08-04
DAW,DAW-BAS-001,DAW-ED-001,prerrequisito,sí,"Gestionar archivos, carpetas y copias de seguridad debe dominarse antes de Usar Git y un flujo de trabajo colaborativo.",2026-08-04
DAW,DAW-ED-001,DAW-ED-002,prerrequisito,sí,"Usar Git y un flujo de trabajo colaborativo debe dominarse antes de Depurar, automatizar y mantener calidad.",2026-08-04
DAW,DAW-PRO-004,DAW-ED-002,prerrequisito,sí,"Gestionar errores, ficheros y pruebas debe dominarse antes de Depurar, automatizar y mantener calidad.",2026-08-04
DAW,DAW-BAS-004,DAW-DIG-001,prerrequisito,sí,"Comprender cómo funciona una aplicación conectada debe dominarse antes de Analizar digitalización, datos e IA de forma responsable.",2026-08-04
DAW,DAW-SI-001,DAW-SUS-001,prerrequisito,sí,Instalar y configurar un sistema de trabajo debe dominarse antes de Aplicar sostenibilidad al desarrollo y operación.,2026-08-04
DAW,DAW-BAS-005,DAW-ENG-001,prerrequisito,sí,Documentar errores y aprender mediante práctica debe dominarse antes de Leer y comunicar información técnica en inglés.,2026-08-04
DAW,DAW-ED-001,DAW-EMP-001,prerrequisito,sí,Usar Git y un flujo de trabajo colaborativo debe dominarse antes de Preparar perfil profesional y candidatura.,2026-08-04
DAW,DAW-BAS-005,DAW-EMP-001,prerrequisito,sí,Documentar errores y aprender mediante práctica debe dominarse antes de Preparar perfil profesional y candidatura.,2026-08-04
DAW,DAW-ED-002,DAW-PRJ-001,prerrequisito,sí,"Depurar, automatizar y mantener calidad debe dominarse antes de Planificar y entregar un proyecto integrador.",2026-08-04
DAW,DAW-BD-002,DAW-PRJ-001,prerrequisito,sí,Crear y consultar una base de datos con SQL debe dominarse antes de Planificar y entregar un proyecto integrador.,2026-08-04
DAW,DAW-PRO-004,DAW-PRJ-001,prerrequisito,sí,"Gestionar errores, ficheros y pruebas debe dominarse antes de Planificar y entregar un proyecto integrador.",2026-08-04
DAW,DAW-PRJ-001,DAW-PRJ-002,prerrequisito,sí,Planificar y entregar un proyecto integrador debe dominarse antes de Presentar y defender una solución.,2026-08-04
DAW,DAW-EMP-001,DAW-PRJ-002,prerrequisito,sí,Preparar perfil profesional y candidatura debe dominarse antes de Presentar y defender una solución.,2026-08-04
DAW,DAW-PRO-002,DAW-CLI-001,prerrequisito,sí,Diseñar funciones y trabajar con colecciones debe dominarse antes de Programar interacción con JavaScript en el navegador.,2026-08-04
DAW,DAW-LM-002,DAW-CLI-001,prerrequisito,sí,Presentar información de forma responsive debe dominarse antes de Programar interacción con JavaScript en el navegador.,2026-08-04
DAW,DAW-CLI-001,DAW-CLI-002,prerrequisito,sí,Programar interacción con JavaScript en el navegador debe dominarse antes de Consumir APIs y gestionar asincronía.,2026-08-04
DAW,DAW-BAS-004,DAW-CLI-002,prerrequisito,sí,Comprender cómo funciona una aplicación conectada debe dominarse antes de Consumir APIs y gestionar asincronía.,2026-08-04
DAW,DAW-CLI-002,DAW-CLI-003,prerrequisito,sí,Consumir APIs y gestionar asincronía debe dominarse antes de Construir interfaces basadas en componentes.,2026-08-04
DAW,DAW-ED-002,DAW-CLI-003,prerrequisito,sí,"Depurar, automatizar y mantener calidad debe dominarse antes de Construir interfaces basadas en componentes.",2026-08-04
DAW,DAW-PRO-003,DAW-SRV-001,prerrequisito,sí,"Aplicar programación orientada a objetos debe dominarse antes de Crear rutas, validación y lógica de servidor.",2026-08-04
DAW,DAW-BD-002,DAW-SRV-001,prerrequisito,sí,"Crear y consultar una base de datos con SQL debe dominarse antes de Crear rutas, validación y lógica de servidor.",2026-08-04
DAW,DAW-BAS-004,DAW-SRV-001,prerrequisito,sí,"Comprender cómo funciona una aplicación conectada debe dominarse antes de Crear rutas, validación y lógica de servidor.",2026-08-04
DAW,DAW-SRV-001,DAW-SRV-002,prerrequisito,sí,"Crear rutas, validación y lógica de servidor debe dominarse antes de Implementar autenticación y autorización seguras.",2026-08-04
DAW,DAW-SI-002,DAW-SRV-002,prerrequisito,sí,Aplicar red y seguridad básica debe dominarse antes de Implementar autenticación y autorización seguras.,2026-08-04
DAW,DAW-SRV-001,DAW-SRV-003,prerrequisito,sí,"Crear rutas, validación y lógica de servidor debe dominarse antes de Persistir datos y exponer una API mantenible.",2026-08-04
DAW,DAW-BD-003,DAW-SRV-003,prerrequisito,sí,"Mantener integridad, transacciones y acceso seguro debe dominarse antes de Persistir datos y exponer una API mantenible.",2026-08-04
DAW,DAW-SRV-001,DAW-DEP-001,prerrequisito,sí,"Crear rutas, validación y lógica de servidor debe dominarse antes de Desplegar una aplicación web con configuración segura.",2026-08-04
DAW,DAW-SI-002,DAW-DEP-001,prerrequisito,sí,Aplicar red y seguridad básica debe dominarse antes de Desplegar una aplicación web con configuración segura.,2026-08-04
DAW,DAW-DEP-001,DAW-DEP-002,prerrequisito,sí,Desplegar una aplicación web con configuración segura debe dominarse antes de Contenerizar y automatizar entrega.,2026-08-04
