skill_id,titulo,descripcion,horas_estimadas,criterios_superacion,evidencia_minima,umbral_superacion,aplicable_a,fuente_titulo_url,fuente_curriculo_url,tipo_criterio,ultima_revision
BAS-001,"Gestionar archivos, carpetas y copias de seguridad","Organiza proyectos, descargas y documentos sin perder versiones ni credenciales.",3,Crea una estructura de carpetas coherente para tres proyectos || Comprime y descomprime archivos y localiza extensiones || Recupera una copia anterior o explica cómo restaurarla,Captura o vídeo corto de la estructura y procedimiento de copia,3 de 3 criterios sin ayuda crítica,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
BAS-002,Usar terminal y comandos esenciales,"Navega, crea, mueve y elimina archivos desde terminal y entiende rutas absolutas y relativas.",5,"Se desplaza entre directorios sin interfaz gráfica || Crea, copia, mueve y elimina archivos de prueba || Explica ruta absoluta, relativa y permisos básicos",Registro de terminal con 10 comandos comentados,80 % de comandos correctos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
BAS-003,Resolver problemas mediante algoritmos simples,"Descompone un problema en entradas, proceso, decisiones, repeticiones y salida.",8,Redacta pseudocódigo de tres problemas cotidianos || Identifica condiciones y bucles necesarios || Prueba casos normales y casos límite,Documento con tres algoritmos y tabla de pruebas,Al menos 2 algoritmos correctos y probados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
BAS-004,Comprender cómo funciona una aplicación conectada,"Distingue cliente, servidor, red, DNS, HTTP, API, base de datos y despliegue.",5,"Dibuja el recorrido de una petición desde navegador o app hasta servidor || Diferencia frontend, backend y base de datos || Interpreta códigos HTTP comunes y una URL",Diagrama comentado de una aplicación sencilla,80 % de conceptos correctamente relacionados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
BAS-005,Documentar errores y aprender mediante práctica,"Registra hipótesis, pruebas, errores, soluciones y fuentes consultadas.",3,Crea una plantilla de diario técnico || Documenta un error con pasos para reproducirlo || Distingue una fuente primaria de una explicación secundaria,Entrada de diario técnico con error resuelto,"Incluye problema, causa, solución y aprendizaje",formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
SI-001,Instalar y configurar un sistema de trabajo,"Configura usuarios, almacenamiento, software, actualizaciones y un entorno reproducible.",14,"Instala o configura una máquina virtual o entorno equivalente || Crea usuarios y aplica actualizaciones || Documenta requisitos, red y almacenamiento",Guía de instalación reproducible con capturas,Se reproduce sin pasos omitidos críticos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
SI-002,Aplicar red y seguridad básica,"Comprende IP, puertos, servicios, permisos, usuarios, copias y secretos.",12,"Configura una red local o servicio accesible de forma controlada || Diferencia autenticación, autorización y cifrado || Evita publicar secretos y define una estrategia de copia",Checklist de seguridad aplicado a un entorno de prueba,Sin exposición de credenciales ni permisos inseguros graves,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
BD-001,Modelar datos relacionales,"Transforma requisitos en entidades, atributos, relaciones, claves y restricciones.",18,"Identifica entidades y relaciones de un caso || Normaliza hasta un diseño razonable || Define claves primarias, foráneas y restricciones",Diagrama entidad-relación y modelo relacional,Modelo sin relaciones ambiguas ni dependencias evidentes,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
BD-002,Crear y consultar una base de datos con SQL,"Implementa tablas y resuelve consultas de selección, agregación y combinación.",24,"Crea tablas con tipos y restricciones correctas || Realiza CRUD y consultas con JOIN || Usa agregaciones, filtros y ordenación sobre datos coherentes",Script SQL ejecutable con datos de prueba y 12 consultas,Al menos 10 consultas correctas,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
BD-003,"Mantener integridad, transacciones y acceso seguro","Gestiona transacciones, usuarios, permisos, copias y errores de persistencia.",14,Demuestra una transacción con confirmación y reversión || Crea un usuario con privilegios mínimos || Realiza y verifica una copia y restauración de prueba,Script y registro de una restauración controlada,Los datos se restauran y los permisos son mínimos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
PRO-001,"Programar con variables, decisiones y bucles","Construye programas de consola con entrada, validación, control de flujo y salida.",28,Usa tipos de datos y operadores adecuados || Resuelve decisiones y repeticiones sin bucles infinitos || Valida entradas y prueba casos límite,Tres programas de consola con casos de prueba,80 % de casos de prueba superados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
