id_slug,tipo,ciclo_siglas,titulo,descripcion,entidad,modalidad,localidad,provincia,fecha_inicio,fecha_fin,estado,coste,certificacion,practicas,fuente_url,tags,prioridad,encaje_1_5,accion_sugerida,ultima_revision,notas
mp_titulo_oficial_andalucia,recurso,MP,Ficha oficial de Marketing y Publicidad en Andalucía,"Referencia oficial del título, módulos, competencias, ocupaciones y continuidad académica del ciclo.",Junta de Andalucía,recurso,Andalucía,Andalucía,,,activo,gratuito,no,sí,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/por-titulacion/fp-grado-superior/detalle-titulo?idTitulo=91,curriculo|competencias|salidas_profesionales|fp,Alta,5,Comparar las competencias oficiales con su CV y elegir tres que deberá demostrar durante el trimestre.,2026-08-04,Recurso oficial permanente; no aplica una fecha de convocatoria.
mp_todofp_marketing_publicidad,recurso,MP,Técnico Superior en Marketing y Publicidad,"Ficha nacional con competencias, módulos, puestos de trabajo y requisitos de acceso del ciclo.",TodoFP - Ministerio de Educación,recurso,Online,Online,,,activo,gratuito,no,sí,https://www.todofp.es/que-estudiar/familias-profesionales/comercio-marketing/marketing-publicidad.html,todofp|competencias|empleabilidad|marketing,Media,5,Usar las ocupaciones oficiales para configurar alertas de empleo con nombres de puesto concretos.,2026-08-04,Recurso oficial permanente.
mp_camara_direccion_edicion_video_2026,curso_complementario,MP,Dirección creativa y edición de vídeo corporativo,"Curso presencial de 150 horas para planificar, grabar y editar contenidos audiovisuales orientados a comunicación y marketing.",Cámara de Comercio de Granada,presencial,Armilla,Granada,2026-10-06,2026-11-18,abierto,gratuito,título acreditativo,no,https://www.camaragranada.org/evento/subvenciones-y-programas/apoyo-al-emprendimiento/curso-gratuito-direccion-creativa-y-edicion-de-video-corporativo.-tu-empresa-en-imagenes-267136,video_marketing|edicion|contenido|granada,Alta,5,Comprobar requisitos e inscribirse; utilizar una marca real o ficticia como proyecto durante el curso.,2026-08-04,Convocatoria publicada para 2026; plazas limitadas.
mp_camara_fotografia_producto_2026,curso_complementario,MP,Fotografía de producto e imagen corporativa,"Curso presencial de 150 horas sobre fotografía de producto, identidad visual, contenido para redes e IA aplicada al branding.",Cámara de Comercio de Granada,presencial,Granada,Granada,2026-10-13,2026-11-24,abierto,gratuito,título acreditativo,no,https://www.camaragranada.org/evento/subvenciones-y-programas/apoyo-al-emprendimiento/curso-gratuito-fotografia-de-producto-e-imagen-corporativa.-impulsa-las-ventas-de-tu-negocio-2672122,fotografia_producto|branding|redes_sociales|granada,Alta,5,Solicitar plaza y preparar un pequeño catálogo de producto para rehacerlo durante la formación.,2026-08-04,Convocatoria publicada para 2026; requiere documentación laboral según la situación del participante.
mp_camara_ia_marketing_2026,curso_complementario,MP,Inteligencia artificial aplicada al marketing,"Formación presencial de 120 horas sobre estrategia digital, objetivos, creación de contenido, automatización y medición.",Cámara de Comercio de Granada,presencial,Granada,Granada,2026-05-25,2026-06-29,historico_util,gratuito,título acreditativo,no,https://www.camaragranada.org/evento/subvenciones-y-programas/apoyo-al-emprendimiento/curso-gratuito-ia-aplicada-al-marketing-264135,inteligencia_artificial|marketing_digital|automatizacion|granada,Media,4,Revisar el programa y seguir la oferta de España Emprende para una reedición o curso equivalente.,2026-08-04,Edición finalizada. Sigue siendo útil porque muestra competencias actuales demandadas y puede reeditarse dentro del mismo programa.
mp_camara_ux_ui_2026,curso_complementario,MP,Diseño gráfico y experiencia de usuario UX/UI,"Formación presencial de 150 horas para aplicar diseño visual y experiencia de usuario a páginas, campañas y activos digitales.",Cámara de Comercio de Granada,presencial,Granada,Granada,2026-05-18,2026-06-30,historico_util,gratuito,título acreditativo,no,https://www.camaragranada.org/evento/subvenciones-y-programas/apoyo-al-emprendimiento/curso-gratuito-dise%C3%B1o-grafico-y-experiencia-de-usuario-ux-ui-para-la-gestion-de-tu-negocio-2631942,ux_ui|diseño_grafico|conversion|granada,Media,4,Usar el temario como checklist y seguir a Cámara Granada para detectar una nueva edición.,2026-08-04,"Edición finalizada. Sigue siendo útil para orientar un portfolio de landing pages, piezas de campaña y diseño centrado en conversión."
mp_andalucia_vuela_campanas_redes,curso_complementario,MP,Campañas publicitarias en redes sociales,"Curso tutorizado sobre estrategia, segmentación, creatividad, medición del retorno y optimización de campañas sociales.",Andalucía Vuela,online tutorizada,Online,Andalucía,,,activo,gratuito,certificado de aprovechamiento o participación,no,https://aulavirtual.andaluciavuela.es/blocks/sand_search/viewcourse.php?b_abierta=1&b_categoria=0&b_iniciativa=0&b_municipios=&b_order=0&b_planformativo=0&b_provincias=&b_subcategoria=0&b_texto=&b_tipo=2&idconv=61108&idcourse=6330&ihidden=0&page=1&perpage=20,social_ads|roi|segmentacion|andalucia,Alta,5,"Inscribirse en una edición disponible y diseñar una campaña ficticia con objetivos, público, anuncios y KPI.",2026-08-04,Las fechas dependen de cada edición; revisar disponibilidad antes de inscribirse.
mp_andalucia_vuela_marca_redes,curso_complementario,MP,Gestión de marca en redes sociales,"Curso tutorizado de nivel intermedio sobre community management, estrategia de contenidos y medición de resultados.",Andalucía Vuela,online tutorizada,Online,Andalucía,,,activo,gratuito,certificado de aprovechamiento o participación,no,https://aulavirtual.andaluciavuela.es/blocks/sand_search/viewcourse.php?b_abierta=1&b_categoria=0&b_iniciativa=0&b_municipios=&b_order=0&b_planformativo=0&b_provincias=&b_subcategoria=0&b_texto=&b_tipo=2&idconv=24484&idcourse=6345&ihidden=0&page=9&perpage=20,community_manager|marca|contenidos|analitica,Media,4,Completar el curso y aplicar la estrategia a un calendario editorial de cuatro semanas.,2026-08-04,Las fechas dependen de cada edición; revisar disponibilidad.
mp_google_ads_skillshop,curso_complementario,MP,Google Ads y certificaciones,"Rutas oficiales para aprender campañas de búsqueda, display, vídeo, shopping y medición con posibilidad de certificación.",Google Skillshop,online autodirigida,Online,Online,,,activo,gratuito,certificación de Google según itinerario,no,https://skillshop.withgoogle.com/googleads,google_ads|sem|paid_media|certificacion,Alta,5,Completar primero la ruta de búsqueda y documentar una estructura de campaña para un negocio local.,2026-08-04,Las certificaciones y requisitos pueden actualizarse.
mp_hubspot_marketing_digital,curso_basico,MP,Certificación de marketing digital,"Curso sobre estrategia omnicanal, contenidos, SEO, email, redes sociales, publicidad y medición.",HubSpot Academy,online autodirigida,Online,Online,,,activo,gratuito,certificación propia,no,https://academy.hubspot.com/courses/digital-marketing,marketing_digital|seo|email|estrategia,Alta,5,Completar la certificación y publicar un resumen aplicado a una marca concreta.,2026-08-04,Curso reconocido por el sector; contenidos disponibles en varios idiomas.
