leccion_id,ruta_id,ruta_titulo,ruta_tipo,ciclo_siglas,orden_leccion,competencia_id,leccion_titulo,leccion_objetivo,video_titulo,canal,youtube_url,embed_url,inicio_segundos,fin_segundos,notas_habilitadas,notas_con_timestamp,guardar_progreso_segundos,boton_marcar_hecho,condicion_marcar_hecho,actividad_obligatoria,evidencia_minima,obligatoria_para_ruta,estado_embed,ultima_revision
daw_andalucia_vuela_html_css__daw-bas-003,daw_andalucia_vuela_html_css,Iniciación a la programación web con HTML y CSS,curso_basico,DAW,1,DAW-BAS-003,Resolver problemas mediante algoritmos simples,"Traducir un problema sencillo a pasos, decisiones y repeticiones.",Hablemos de programación: fundamentos y pensamiento lógico,jonmircha,https://www.youtube.com/watch?v=BjYrguKBfCo,https://www.youtube-nocookie.com/embed/BjYrguKBfCo?rel=0&enablejsapi=1&cc_load_policy=1,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,Redacta pseudocódigo de tres problemas cotidianos || Identifica condiciones y bucles necesarios || Prueba casos normales y casos límite,Documento con tres algoritmos y tabla de pruebas,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_andalucia_vuela_html_css__daw-pro-001,daw_andalucia_vuela_html_css,Iniciación a la programación web con HTML y CSS,curso_basico,DAW,2,DAW-PRO-001,"Programar con variables, decisiones y bucles","Programar variables, validaciones y decisiones.",Curso de Java desde cero,MoureDev by Brais Moure,https://www.youtube.com/watch?v=JOAqpdM36wI,https://www.youtube-nocookie.com/embed/JOAqpdM36wI?rel=0&enablejsapi=1&cc_load_policy=1&start=5294&end=11115,5294,11115,si,si,si,si,evidencia_entregada_y_criterio_superado,Usa tipos de datos y operadores adecuados || Resuelve decisiones y repeticiones sin bucles infinitos || Valida entradas y prueba casos límite,Tres programas de consola con casos de prueba,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_andalucia_vuela_html_css__daw-lm-002,daw_andalucia_vuela_html_css,Iniciación a la programación web con HTML y CSS,curso_basico,DAW,3,DAW-LM-002,Presentar información de forma responsive,Construir una interfaz responsive y comprobarla en varios tamaños.,Responsive Web Design,jonmircha,https://www.youtube.com/watch?v=udGrXWeJp1Y,https://www.youtube-nocookie.com/embed/udGrXWeJp1Y?rel=0&enablejsapi=1&cc_load_policy=1,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,"Construye un layout con Flexbox o Grid || Se adapta a móvil, tableta y escritorio || Mantiene contraste, legibilidad y consistencia visual",Landing responsive publicada o capturas multiformato,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_andalucia_vuela_html_css__daw-bas-004,daw_andalucia_vuela_html_css,Iniciación a la programación web con HTML y CSS,curso_basico,DAW,4,DAW-BAS-004,Comprender cómo funciona una aplicación conectada,"Distinguir cliente, servidor, red, petición, respuesta y datos.",Fundamentos de Node.js,jonmircha,https://www.youtube.com/watch?v=0f26_Enlv38,https://www.youtube-nocookie.com/embed/0f26_Enlv38?rel=0&enablejsapi=1&cc_load_policy=1,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,"Dibuja el recorrido de una petición desde navegador o app hasta servidor || Diferencia frontend, backend y base de datos || Interpreta códigos HTTP comunes y una URL",Diagrama comentado de una aplicación sencilla,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_andalucia_vuela_html_css__daw-pro-002,daw_andalucia_vuela_html_css,Iniciación a la programación web con HTML y CSS,curso_basico,DAW,5,DAW-PRO-002,Diseñar funciones y trabajar con colecciones,Separar lógica en funciones y manipular colecciones.,Curso de Java desde cero,MoureDev by Brais Moure,https://www.youtube.com/watch?v=JOAqpdM36wI,https://www.youtube-nocookie.com/embed/JOAqpdM36wI?rel=0&enablejsapi=1&cc_load_policy=1&start=11115&end=19586,11115,19586,si,si,si,si,evidencia_entregada_y_criterio_superado,"Separa responsabilidades en funciones pequeñas || Recorre y transforma colecciones correctamente || Gestiona búsquedas, ordenación o agregación básica",Aplicación de consola modular con colección de objetos o datos,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_mdn_aprende_desarrollo_web__daw-lm-002,daw_mdn_aprende_desarrollo_web,Aprende desarrollo web con MDN,curso_basico,DAW,1,DAW-LM-002,Presentar información de forma responsive,Construir una interfaz responsive y comprobarla en varios tamaños.,Responsive Web Design,jonmircha,https://www.youtube.com/watch?v=udGrXWeJp1Y,https://www.youtube-nocookie.com/embed/udGrXWeJp1Y?rel=0&enablejsapi=1&cc_load_policy=1,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,"Construye un layout con Flexbox o Grid || Se adapta a móvil, tableta y escritorio || Mantiene contraste, legibilidad y consistencia visual",Landing responsive publicada o capturas multiformato,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_mdn_aprende_desarrollo_web__daw-cli-001,daw_mdn_aprende_desarrollo_web,Aprende desarrollo web con MDN,curso_basico,DAW,2,DAW-CLI-001,Programar interacción con JavaScript en el navegador,"Programar eventos, DOM, formularios y estado de interfaz.",Curso de JavaScript,jonmircha,https://www.youtube.com/playlist?list=PLvq-jIkSeTUZ6QgYYO3MwG9EMqC-KoLXA,https://www.youtube-nocookie.com/embed/videoseries?rel=0&enablejsapi=1&cc_load_policy=1&list=PLvq-jIkSeTUZ6QgYYO3MwG9EMqC-KoLXA&listType=playlist,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,Manipula contenido y eventos sin recargas innecesarias || Valida formularios y muestra errores accesibles || Organiza código en módulos y evita variables globales,Aplicación web interactiva con formularios y estado local,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_mdn_aprende_desarrollo_web__daw-bas-004,daw_mdn_aprende_desarrollo_web,Aprende desarrollo web con MDN,curso_basico,DAW,3,DAW-BAS-004,Comprender cómo funciona una aplicación conectada,"Distinguir cliente, servidor, red, petición, respuesta y datos.",Fundamentos de Node.js,jonmircha,https://www.youtube.com/watch?v=0f26_Enlv38,https://www.youtube-nocookie.com/embed/0f26_Enlv38?rel=0&enablejsapi=1&cc_load_policy=1,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,"Dibuja el recorrido de una petición desde navegador o app hasta servidor || Diferencia frontend, backend y base de datos || Interpreta códigos HTTP comunes y una URL",Diagrama comentado de una aplicación sencilla,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_mdn_aprende_desarrollo_web__daw-pro-001,daw_mdn_aprende_desarrollo_web,Aprende desarrollo web con MDN,curso_basico,DAW,4,DAW-PRO-001,"Programar con variables, decisiones y bucles","Programar variables, validaciones y decisiones.",Curso de Java desde cero,MoureDev by Brais Moure,https://www.youtube.com/watch?v=JOAqpdM36wI,https://www.youtube-nocookie.com/embed/JOAqpdM36wI?rel=0&enablejsapi=1&cc_load_policy=1&start=5294&end=11115,5294,11115,si,si,si,si,evidencia_entregada_y_criterio_superado,Usa tipos de datos y operadores adecuados || Resuelve decisiones y repeticiones sin bucles infinitos || Valida entradas y prueba casos límite,Tres programas de consola con casos de prueba,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_mdn_aprende_desarrollo_web__daw-lm-001,daw_mdn_aprende_desarrollo_web,Aprende desarrollo web con MDN,curso_basico,DAW,5,DAW-LM-001,Estructurar información con lenguajes de marcas,Estructurar información usando etiquetas semánticas y jerarquía correcta.,Curso de HTML,jonmircha,https://www.youtube.com/watch?v=-oK6zL01fNM,https://www.youtube-nocookie.com/embed/-oK6zL01fNM?rel=0&enablejsapi=1&cc_load_policy=1,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,"Usa estructura semántica y validable || Diferencia HTML, XML y JSON y sus casos de uso || Interpreta o genera datos estructurados",Conjunto de documentos validados y ejemplo de consumo,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_microsoft_web_dev_beginners__daw-pro-001,daw_microsoft_web_dev_beginners,Web Development for Beginners,curso_basico,DAW,1,DAW-PRO-001,"Programar con variables, decisiones y bucles","Programar variables, validaciones y decisiones.",Curso de Java desde cero,MoureDev by Brais Moure,https://www.youtube.com/watch?v=JOAqpdM36wI,https://www.youtube-nocookie.com/embed/JOAqpdM36wI?rel=0&enablejsapi=1&cc_load_policy=1&start=5294&end=11115,5294,11115,si,si,si,si,evidencia_entregada_y_criterio_superado,Usa tipos de datos y operadores adecuados || Resuelve decisiones y repeticiones sin bucles infinitos || Valida entradas y prueba casos límite,Tres programas de consola con casos de prueba,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_microsoft_web_dev_beginners__daw-bas-004,daw_microsoft_web_dev_beginners,Web Development for Beginners,curso_basico,DAW,2,DAW-BAS-004,Comprender cómo funciona una aplicación conectada,"Distinguir cliente, servidor, red, petición, respuesta y datos.",Fundamentos de Node.js,jonmircha,https://www.youtube.com/watch?v=0f26_Enlv38,https://www.youtube-nocookie.com/embed/0f26_Enlv38?rel=0&enablejsapi=1&cc_load_policy=1,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,"Dibuja el recorrido de una petición desde navegador o app hasta servidor || Diferencia frontend, backend y base de datos || Interpreta códigos HTTP comunes y una URL",Diagrama comentado de una aplicación sencilla,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_microsoft_web_dev_beginners__daw-lm-001,daw_microsoft_web_dev_beginners,Web Development for Beginners,curso_basico,DAW,3,DAW-LM-001,Estructurar información con lenguajes de marcas,Estructurar información usando etiquetas semánticas y jerarquía correcta.,Curso de HTML,jonmircha,https://www.youtube.com/watch?v=-oK6zL01fNM,https://www.youtube-nocookie.com/embed/-oK6zL01fNM?rel=0&enablejsapi=1&cc_load_policy=1,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,"Usa estructura semántica y validable || Diferencia HTML, XML y JSON y sus casos de uso || Interpreta o genera datos estructurados",Conjunto de documentos validados y ejemplo de consumo,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_microsoft_web_dev_beginners__daw-lm-002,daw_microsoft_web_dev_beginners,Web Development for Beginners,curso_basico,DAW,4,DAW-LM-002,Presentar información de forma responsive,Construir una interfaz responsive y comprobarla en varios tamaños.,Responsive Web Design,jonmircha,https://www.youtube.com/watch?v=udGrXWeJp1Y,https://www.youtube-nocookie.com/embed/udGrXWeJp1Y?rel=0&enablejsapi=1&cc_load_policy=1,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,"Construye un layout con Flexbox o Grid || Se adapta a móvil, tableta y escritorio || Mantiene contraste, legibilidad y consistencia visual",Landing responsive publicada o capturas multiformato,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_microsoft_web_dev_beginners__daw-ed-001,daw_microsoft_web_dev_beginners,Web Development for Beginners,curso_basico,DAW,5,DAW-ED-001,Usar Git y un flujo de trabajo colaborativo,"Usar commits, ramas, repositorios remotos y pull requests.",Curso de Git y GitHub desde cero,MoureDev by Brais Moure,https://www.youtube.com/watch?v=3GymExBkKjE,https://www.youtube-nocookie.com/embed/3GymExBkKjE?rel=0&enablejsapi=1&cc_load_policy=1&end=14000,0,14000,si,si,si,si,evidencia_entregada_y_criterio_superado,Crea repositorio y commits atómicos con mensajes claros || Trabaja en una rama y abre un pull request || Resuelve un conflicto sencillo sin perder trabajo,"Repositorio con historial, rama y pull request",no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_react_learn__daw-cli-001,daw_react_learn,Learn React,curso_complementario,DAW,1,DAW-CLI-001,Programar interacción con JavaScript en el navegador,"Programar eventos, DOM, formularios y estado de interfaz.",Curso de JavaScript,jonmircha,https://www.youtube.com/playlist?list=PLvq-jIkSeTUZ6QgYYO3MwG9EMqC-KoLXA,https://www.youtube-nocookie.com/embed/videoseries?rel=0&enablejsapi=1&cc_load_policy=1&list=PLvq-jIkSeTUZ6QgYYO3MwG9EMqC-KoLXA&listType=playlist,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,Manipula contenido y eventos sin recargas innecesarias || Valida formularios y muestra errores accesibles || Organiza código en módulos y evita variables globales,Aplicación web interactiva con formularios y estado local,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_react_learn__daw-cli-003,daw_react_learn,Learn React,curso_complementario,DAW,2,DAW-CLI-003,Construir interfaces basadas en componentes,"Construir una interfaz con componentes, propiedades y estado.",Curso de React,jonmircha,https://www.youtube.com/playlist?list=PLvq-jIkSeTUZ5XcUw8fJPTBKEHEKPMTKk,https://www.youtube-nocookie.com/embed/videoseries?rel=0&enablejsapi=1&cc_load_policy=1&list=PLvq-jIkSeTUZ5XcUw8fJPTBKEHEKPMTKk&listType=playlist,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,Los componentes tienen responsabilidades claras || El estado se ubica en el nivel adecuado || La navegación y formularios mantienen consistencia,Aplicación de varias vistas con componentes reutilizables,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_react_learn__daw-pro-001,daw_react_learn,Learn React,curso_complementario,DAW,3,DAW-PRO-001,"Programar con variables, decisiones y bucles","Programar variables, validaciones y decisiones.",Curso de Java desde cero,MoureDev by Brais Moure,https://www.youtube.com/watch?v=JOAqpdM36wI,https://www.youtube-nocookie.com/embed/JOAqpdM36wI?rel=0&enablejsapi=1&cc_load_policy=1&start=5294&end=11115,5294,11115,si,si,si,si,evidencia_entregada_y_criterio_superado,Usa tipos de datos y operadores adecuados || Resuelve decisiones y repeticiones sin bucles infinitos || Valida entradas y prueba casos límite,Tres programas de consola con casos de prueba,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_react_learn__daw-pro-003,daw_react_learn,Learn React,curso_complementario,DAW,4,DAW-PRO-003,Aplicar programación orientada a objetos,"Modelar clases, objetos, encapsulación y composición.",Curso de Java desde cero,MoureDev by Brais Moure,https://www.youtube.com/watch?v=JOAqpdM36wI,https://www.youtube-nocookie.com/embed/JOAqpdM36wI?rel=0&enablejsapi=1&cc_load_policy=1&start=19586&end=27441,19586,27441,si,si,si,si,evidencia_entregada_y_criterio_superado,Define clases con responsabilidades claras || Protege invariantes mediante encapsulación || Usa composición o interfaces y justifica el diseño,Proyecto orientado a objetos con diagrama y README,no,revisar_automaticamente_antes_de_publicar,2026-08-04
daw_react_learn__daw-lm-002,daw_react_learn,Learn React,curso_complementario,DAW,5,DAW-LM-002,Presentar información de forma responsive,Construir una interfaz responsive y comprobarla en varios tamaños.,Responsive Web Design,jonmircha,https://www.youtube.com/watch?v=udGrXWeJp1Y,https://www.youtube-nocookie.com/embed/udGrXWeJp1Y?rel=0&enablejsapi=1&cc_load_policy=1,0,0,si,si,si,si,evidencia_entregada_y_criterio_superado,"Construye un layout con Flexbox o Grid || Se adapta a móvil, tableta y escritorio || Mantiene contraste, legibilidad y consistencia visual",Landing responsive publicada o capturas multiformato,no,revisar_automaticamente_antes_de_publicar,2026-08-04
