id_slug,tipo,ciclo_siglas,titulo,descripcion,entidad,modalidad,localidad,provincia,fecha_inicio,fecha_fin,estado,coste,certificacion,practicas,fuente_url,tags,prioridad,encaje_1_5,accion_sugerida,ultima_revision,notas
tsaf_titulo_oficial_andalucia,recurso,TSAF,Ficha oficial de Técnico Superior en Acondicionamiento Físico,"Referencia andaluza con competencia general, módulos, salidas profesionales y centros donde se imparte el ciclo.",Junta de Andalucía,recurso,Andalucía,Andalucía,,,activo,gratuito,título oficial al cursar el ciclo,sí,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/por-titulacion/fp-grado-superior/detalle-titulo?idTitulo=561,curriculo|competencias|salidas_profesionales|fp,Alta,5,Comparar las competencias oficiales con su CV y elegir tres que deberá demostrar este trimestre.,2026-08-04,Recurso oficial permanente; no aplica una fecha de convocatoria.
tsaf_todofp_ficha_nacional,recurso,TSAF,Técnico Superior en Acondicionamiento Físico en TodoFP,"Ficha nacional del ciclo con duración, acceso, plan formativo y puestos vinculados al fitness y el acondicionamiento.",TodoFP - Ministerio de Educación,recurso,Online,Online,,,activo,gratuito,título oficial al cursar el ciclo,sí,https://www.todofp.es/que-estudiar/familias-profesionales/actividades-fisicas-deportivas/acondicionamiento-fisico.html,todofp|acceso|ocupaciones|fitness,Media,5,Usar las ocupaciones oficiales para crear alertas de empleo con nombres de puesto concretos.,2026-08-04,Recurso oficial permanente.
tsaf_curriculo_boja_andalucia,recurso,TSAF,Currículo oficial de TSAF en Andalucía,"Norma autonómica que desarrolla resultados de aprendizaje, contenidos y criterios de evaluación del ciclo.",Boletín Oficial de la Junta de Andalucía,recurso,Andalucía,Andalucía,,,activo,gratuito,no,no,https://ws040.juntadeandalucia.es/sedeboja/web/textos-consolidados/resumen-ficha?_resumenrecursolegal_WAR_sedebojatextoconsolidadoportlet_recursoLegalAbstractoId=27036&p_p_id=resumenrecursolegal_WAR_sedebojatextoconsolidadoportlet&p_p_lifecycle=0,boja|resultados_aprendizaje|evaluacion|curriculo,Media,5,Elegir un resultado de aprendizaje y convertirlo en una evidencia práctica para el portfolio.,2026-08-04,Texto normativo vigente; revisar posibles modificaciones posteriores.
tsaf_iad_formacion_continua_2026,recurso,TSAF,Programa de Formación Continua 2026 del IAD,"Catálogo autonómico de cursos sobre entrenamiento, actividad física y salud, gestión, instalaciones y seguridad deportiva.",Instituto Andaluz del Deporte,búsqueda de formación,Andalucía,Andalucía,2026-01-01,2026-12-31,activo,generalmente gratuito; revisar actividad,según actividad,no,https://ws226.juntadeandalucia.es/iadformaconti/wordpress/,iad|formacion_continua|deporte|andalucia,Alta,5,"Revisar Actividades abiertas y solicitar una formación vinculada a entrenamiento, RCP o poblaciones especiales.",2026-08-04,"Las fechas, plazas y destinatarios dependen de cada actividad."
tsaf_iad_fundamentos_entrenamiento,curso_complementario,TSAF,Fundamentos del entrenamiento: rendimiento y salud,"Formación sobre valoración funcional, fuerza, resistencia, carga, biomecánica, adherencia y diseño de programas.",Instituto Andaluz del Deporte,presencial u online según edición,Málaga,Málaga,,,pendiente_convocatoria,gratuito; confirmar convocatoria,certificado; confirmar convocatoria,no,https://ws226.juntadeandalucia.es/iadformaconti/wordpress/?page_id=4101,entrenamiento|valoracion_funcional|fuerza|salud,Alta,5,Revisar la ficha e inscribirse cuando abra una edición; usar el contenido para mejorar una planificación real.,2026-08-04,Fecha pendiente de convocatoria o reapertura; confirmar modalidad y requisitos en Actividades abiertas.
tsaf_iad_rcp_profesionales_deporte,curso_complementario,TSAF,Reanimación cardiopulmonar para profesionales del deporte,"Formación aplicada para reconocer una parada, activar emergencias, realizar RCP básica y utilizar un DEA.",Instituto Andaluz del Deporte,presencial según edición,Málaga,Málaga,,,pendiente_convocatoria,gratuito; confirmar convocatoria,certificado; confirmar convocatoria,no,https://ws226.juntadeandalucia.es/iadformaconti/wordpress/?page_id=3660,rcp|dea|primeros_auxilios|seguridad,Alta,5,Vigilar la siguiente edición y completar una formación práctica de RCP y DEA antes de trabajar con usuarios.,2026-08-04,Fecha pendiente de convocatoria; comprobar si la acreditación satisface los requisitos del puesto o instalación.
tsaf_iad_tecnicos_personas_mayores,curso_complementario,TSAF,Formación de técnicos en actividad física para personas mayores,Curso para valorar necesidades y comenzar programas de ejercicio seguros orientados a autonomía y prevención de fragilidad.,Instituto Andaluz del Deporte,presencial u online según edición,Andalucía,Andalucía,,,pendiente_convocatoria,gratuito; confirmar convocatoria,certificado; confirmar convocatoria,no,https://ws226.juntadeandalucia.es/iadformaconti/wordpress/?page_id=4140,personas_mayores|fragilidad|ejercicio_salud|adaptacion,Media,5,"Revisar la próxima edición y preparar un programa básico de fuerza, equilibrio y movilidad para mayores.",2026-08-04,Fecha pendiente de convocatoria; confirmar perfil destinatario.
tsaf_iad_dolor_lumbar_2026,curso_complementario,TSAF,Diseño de ejercicio para dolor lumbar inespecífico,"Acción formativa sobre mecanismos del dolor, valoración y diseño individualizado de ejercicio para mejorar función y adherencia.",Instituto Andaluz del Deporte,presencial,Málaga,Málaga,2026-06-17,2026-06-17,historico_util,gratuito,certificado o asistencia; no consta,no,https://ws226.juntadeandalucia.es/iadformaconti/wordpress/?page_id=4041,dolor_lumbar|ejercicio_salud|adherencia|programacion,Media,4,Revisar el programa y usarlo como guía para estudiar límites profesionales y derivación a personal sanitario.,2026-08-04,"Edición finalizada. Sigue siendo útil por el enfoque basado en valoración, individualización y trabajo dentro de las competencias profesionales."
tsaf_iad_entrenamiento_fuerza,curso_complementario,TSAF,Optimización del rendimiento mediante entrenamiento de fuerza,"Curso teórico-práctico de 30 horas sobre programación, ejecución y control del entrenamiento de fuerza.",Instituto Andaluz del Deporte,semipresencial o presencial según edición,Granada,Granada,,,pendiente_convocatoria,gratuito; confirmar convocatoria,certificado; confirmar convocatoria,no,https://ws226.juntadeandalucia.es/iadformaconti/wordpress/?page_id=3553,fuerza|rendimiento|programacion|granada,Alta,5,Preparar una planificación de fuerza y solicitar la siguiente edición cuando se publique.,2026-08-04,Fecha pendiente de convocatoria; confirmar sede y requisitos.
tsaf_iad_accesibilidad_instalaciones,curso_complementario,TSAF,Accesibilidad universal en instalaciones deportivas,"Formación sobre barreras, diseño inclusivo y buenas prácticas para atender a personas con discapacidad y mayores.",Instituto Andaluz del Deporte,presencial u online según edición,Andalucía,Andalucía,,,pendiente_convocatoria,gratuito; confirmar convocatoria,certificado; confirmar convocatoria,no,https://ws226.juntadeandalucia.es/iadformaconti/wordpress/?page_id=1881,accesibilidad|inclusion|instalaciones|discapacidad,Media,4,Auditar una instalación conocida y redactar cinco mejoras de accesibilidad y participación.,2026-08-04,Fecha pendiente de convocatoria; la ficha sigue disponible como referencia formativa.
