prioridad_revision,ciclo_siglas,competencia_id,competencia_titulo,tipo_cobertura_actual,video_actual,youtube_url_actual,accion_editorial,ultima_revision
Media,DAW,DAW-BAS-004,Comprender cómo funciona una aplicación conectada,parcial_con_practica,Fundamentos de Node.js,https://www.youtube.com/watch?v=0f26_Enlv38,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAW,DAW-SI-002,Aplicar red y seguridad básica,parcial_con_practica,Fundamentos de Node.js,https://www.youtube.com/watch?v=0f26_Enlv38,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAW,DAW-SUS-001,Aplicar sostenibilidad al desarrollo y operación,orientativa_requiere_revision,Software Development and Sustainability,https://www.youtube.com/playlist?list=PLX6ivsCcfHDOzMIUioOofyF-h-niZL6Qj,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAW,DAW-ENG-001,Leer y comunicar información técnica en inglés,practica_de_ingles_tecnico,How to build a data layer,https://www.youtube.com/watch?v=P125nWICYps,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAW,DAW-EMP-001,Preparar perfil profesional y candidatura,parcial_con_actividad,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAW,DAW-PRJ-001,Planificar y entregar un proyecto integrador,parcial_con_proyecto,Curso de Git y GitHub desde cero,https://www.youtube.com/watch?v=3GymExBkKjE,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAW,DAW-PRJ-002,Presentar y defender una solución,parcial_con_actividad,Kit de marca en Canva,https://www.youtube.com/watch?v=havARJ_ZQg8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAW,DAW-SRV-002,Implementar autenticación y autorización seguras,parcial_con_practica_seguridad,Node.js y Express: API y servidor web,https://www.youtube.com/watch?v=tDF644vI-gs,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAW,DAW-UI-002,Aplicar accesibilidad web verificable,parcial_con_auditoria,Curso de HTML,https://www.youtube.com/watch?v=-oK6zL01fNM,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAM,DAM-BAS-004,Comprender cómo funciona una aplicación conectada,parcial_con_practica,Fundamentos de Node.js,https://www.youtube.com/watch?v=0f26_Enlv38,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAM,DAM-SI-002,Aplicar red y seguridad básica,parcial_con_practica,Fundamentos de Node.js,https://www.youtube.com/watch?v=0f26_Enlv38,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAM,DAM-SUS-001,Aplicar sostenibilidad al desarrollo y operación,orientativa_requiere_revision,Software Development and Sustainability,https://www.youtube.com/playlist?list=PLX6ivsCcfHDOzMIUioOofyF-h-niZL6Qj,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAM,DAM-ENG-001,Leer y comunicar información técnica en inglés,practica_de_ingles_tecnico,How to build a data layer,https://www.youtube.com/watch?v=P125nWICYps,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAM,DAM-EMP-001,Preparar perfil profesional y candidatura,parcial_con_actividad,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAM,DAM-PRJ-001,Planificar y entregar un proyecto integrador,parcial_con_proyecto,Curso de Git y GitHub desde cero,https://www.youtube.com/watch?v=3GymExBkKjE,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAM,DAM-PRJ-002,Presentar y defender una solución,parcial_con_actividad,Kit de marca en Canva,https://www.youtube.com/watch?v=havARJ_ZQg8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAM,DAM-UI-002,"Aplicar usabilidad, accesibilidad y empaquetado",parcial_con_practica,Welcome to Android Basics with Compose,https://www.youtube.com/watch?v=lNKk-RSL7wg,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAM,DAM-SP-001,Programar procesos concurrentes de forma segura,parcial_con_practica_concurrente,Curso de Java desde cero,https://www.youtube.com/watch?v=JOAqpdM36wI,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAM,DAM-SP-002,Crear servicios de red y comunicación entre aplicaciones,parcial_con_practica_red,Fundamentos de Node.js,https://www.youtube.com/watch?v=0f26_Enlv38,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAM,DAM-ERP-001,Comprender e implantar procesos ERP y CRM,orientativa_proceso_empresarial,HubSpot CRM para principiantes,https://www.youtube.com/watch?v=RXbOwk1l2T8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,DAM,DAM-ERP-002,Extender e integrar un sistema empresarial,orientativa_integracion,"Curso de Marketing Hub: CRM, formularios, anuncios, email y analítica",https://www.youtube.com/watch?v=Ama6IGE6tIs,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,TSAF,TSAF-BAS-002,Reconocer anatomía y movimientos fundamentales,curacion_por_playlist,"PhysioWods: movilidad, fisiología, gestión y comunicación profesional",https://www.youtube.com/playlist?list=PLU_3vrvW7HKenS14CstIF_H5fRvnBgi6z,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,TSAF,TSAF-BAS-004,Comunicar instrucciones de forma clara y segura,curacion_por_playlist,"PhysioWods: movilidad, fisiología, gestión y comunicación profesional",https://www.youtube.com/playlist?list=PLU_3vrvW7HKenS14CstIF_H5fRvnBgi6z,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,TSAF,TSAF-BAS-005,"Distinguir alcance profesional, derivación y consentimiento",orientativa_requiere_normativa,"PhysioWods: movilidad, fisiología, gestión y comunicación profesional",https://www.youtube.com/playlist?list=PLU_3vrvW7HKenS14CstIF_H5fRvnBgi6z,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,TSAF,TSAF-VAL-002,Aplicar pruebas básicas de condición física,parcial_con_practica,Cómo programar el entrenamiento de fuerza,https://www.youtube.com/watch?v=eAnc33YC0n8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,TSAF,TSAF-MUS-001,"Comprender ritmo, frase musical y estructura de sesión",parcial_requiere_video_especifico,"PhysioWods: movilidad, fisiología, gestión y comunicación profesional",https://www.youtube.com/playlist?list=PLU_3vrvW7HKenS14CstIF_H5fRvnBgi6z,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,TSAF,TSAF-MUS-002,Diseñar coreografías por niveles,parcial_requiere_video_especifico,"PhysioWods: movilidad, fisiología, gestión y comunicación profesional",https://www.youtube.com/playlist?list=PLU_3vrvW7HKenS14CstIF_H5fRvnBgi6z,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,TSAF,TSAF-MUS-003,Dirigir una clase grupal especializada,parcial_requiere_video_especifico,"PhysioWods: movilidad, fisiología, gestión y comunicación profesional",https://www.youtube.com/playlist?list=PLU_3vrvW7HKenS14CstIF_H5fRvnBgi6z,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,TSAF,TSAF-AQU-001,Aplicar propiedades del medio acuático al ejercicio,parcial_requiere_video_especifico,"PhysioWods: movilidad, fisiología, gestión y comunicación profesional",https://www.youtube.com/playlist?list=PLU_3vrvW7HKenS14CstIF_H5fRvnBgi6z,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,TSAF,TSAF-AQU-002,Programar y dirigir una sesión acuática,parcial_requiere_video_especifico,"PhysioWods: movilidad, fisiología, gestión y comunicación profesional",https://www.youtube.com/playlist?list=PLU_3vrvW7HKenS14CstIF_H5fRvnBgi6z,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,TSAF,TSAF-HID-001,Diseñar actividades de movilidad y bienestar en agua,parcial_requiere_video_especifico,"PhysioWods: movilidad, fisiología, gestión y comunicación profesional",https://www.youtube.com/playlist?list=PLU_3vrvW7HKenS14CstIF_H5fRvnBgi6z,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,TSAF,TSAF-SOC-001,"Gestionar comunicación, motivación y conflictos",curacion_por_playlist,"PhysioWods: movilidad, fisiología, gestión y comunicación profesional",https://www.youtube.com/playlist?list=PLU_3vrvW7HKenS14CstIF_H5fRvnBgi6z,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,TSAF,TSAF-GES-001,"Organizar recursos, calidad y seguridad de una instalación",curacion_por_playlist,"PhysioWods: movilidad, fisiología, gestión y comunicación profesional",https://www.youtube.com/playlist?list=PLU_3vrvW7HKenS14CstIF_H5fRvnBgi6z,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
